,importance
TransactionAmt,0.0
ProductCD,0.0
card1,0.0
card2,0.0
card3,0.0
card4,0.0
card5,0.0
card6,0.0
addr1,0.0
addr2,0.0
dist1,0.0
P_emaildomain,0.0
R_emaildomain,0.0
C1,0.0
C2,0.0
C4,0.0
C5,0.0
C6,0.0
C7,0.0
C8,0.0
C9,0.0
C10,0.0
C11,0.0
C12,0.0
C13,0.0
C14,0.0
D1,0.0
D2,0.0
D3,0.0
D4,0.0
D5,0.0
D6,0.0
D8,0.0
D9,0.0
D10,0.0
D11,0.0
D12,0.0
D13,0.0
D14,0.0
D15,0.0
M2,0.0
M3,0.0
M4,0.0
M5,0.0
M6,0.0
M7,0.0
M8,0.0
M9,0.0
V3,0.0
V4,0.0
V5,0.0
V6,0.0
V7,0.0
V8,0.0
V9,0.0
V10,0.0
V11,0.0
V12,0.0
V13,0.0
V17,0.0
V19,0.0
V20,0.0
V29,0.0
V30,0.0
V33,0.0
V34,0.0
V35,0.0
V36,0.0
V37,0.0
V38,0.0
V40,0.0
V44,0.0
V45,0.0
V46,0.0
V47,0.0
V48,0.0
V49,0.0
V51,0.0
V52,0.0
V53,0.0
V54,0.0
V56,0.0
V58,0.0
V59,0.0
V60,0.0
V61,0.0
V62,0.0
V63,0.0
V64,0.0
V69,0.0
V70,0.0
V71,0.0
V72,0.0
V73,0.0
V74,0.0
V75,0.0
V76,0.0
V78,0.0
V80,0.0
V81,0.0
V82,0.0
V83,0.0
V84,0.0
V85,0.0
V87,0.0
V90,0.0
V91,0.0
V92,0.0
V93,0.0
V94,0.0
V95,0.0
V96,0.0
V97,0.0
V99,0.0
V100,0.0
V126,0.0
V127,0.0
V128,0.0
V130,0.0
V131,0.0
V138,0.0
V139,0.0
V140,0.0
V143,0.0
V145,0.0
V146,0.0
V147,0.0
V149,0.0
V150,0.0
V151,0.0
V152,0.0
V154,0.0
V156,0.0
V158,0.0
V159,0.0
V160,0.0
V161,0.0
V162,0.0
V163,0.0
V164,0.0
V165,0.0
V166,0.0
V167,0.0
V169,0.0
V170,0.0
V171,0.0
V172,0.0
V173,0.0
V175,0.0
V176,0.0
V177,0.0
V178,0.0
V180,0.0
V182,0.0
V184,0.0
V187,0.0
V188,0.0
V189,0.0
V195,0.0
V197,0.0
V200,0.0
V201,0.0
V202,0.0
V203,0.0
V204,0.0
V205,0.0
V206,0.0
V207,0.0
V208,0.0
V209,0.0
V210,0.0
V212,0.0
V213,0.0
V214,0.0
V215,0.0
V216,0.0
V217,0.0
V219,0.0
V220,0.0
V221,0.0
V222,0.0
V223,0.0
V224,0.0
V225,0.0
V226,0.0
V227,0.0
V228,0.0
V229,0.0
V231,0.0
V233,0.0
V234,0.0
V238,0.0
V239,0.0
V242,0.0
V243,0.0
V244,0.0
V245,0.0
V246,0.0
V247,0.0
V249,0.0
V251,0.0
V253,0.0
V256,0.0
V257,0.0
V258,0.0
V259,0.0
V261,0.0
V262,0.0
V263,0.0
V264,0.0
V265,0.0
V266,0.0
V267,0.0
V268,33.70109939575195
V270,0.0
V271,0.0
V272,0.0
V273,0.0
V274,0.0
V275,0.0
V276,0.0
V277,0.0
V278,0.0
V279,0.0
V280,0.0
V282,0.0
V283,0.0
V285,0.0
V287,0.0
V288,0.0
V289,0.0
V291,0.0
V292,0.0
V294,0.0
V303,0.0
V304,0.0
V306,0.0
V307,3.007280111312866
V308,0.0
V310,0.0
V312,0.0
V313,0.0
V314,0.0
V315,0.0
V317,0.0
V322,0.0
V323,0.0
V324,0.0
V326,0.0
V329,0.0
V331,0.0
V332,0.0
V333,0.0
V335,0.0
V336,0.0
V338,0.0
id_01,0.0
id_02,0.0
id_03,0.0
id_05,0.0
id_06,38.44770050048828
id_09,0.0
id_11,0.0
id_12,0.0
id_13,0.0
id_14,0.0
id_15,0.0
id_17,0.0
id_19,0.0
id_20,0.0
id_30,0.0
id_31,0.0
id_32,0.0
id_33,0.0
id_36,0.0
id_37,0.0
id_38,0.0
DeviceType,0.0
DeviceInfo,0.0
TransactionAmt_decimal,0.0
card1_count_full,0.0
Transaction_day_of_week,0.0
Transaction_hour,0.0
id_02__id_20,0.0
id_02__D8,0.0
D11__DeviceInfo,3.473750114440918
DeviceInfo__P_emaildomain,0.0
P_emaildomain__C2,0.0
card2__dist1,0.0
card1__card5,0.0
card2__id_20,0.0
card5__P_emaildomain,0.0
addr1__card1,0.0
id_36_count_full,0.0
id_01_count_dist,0.0
id_31_count_dist,0.0
id_33_count_dist,0.0
id_36_count_dist,0.0
